レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品数,購入商品
R1140,東区,男性,20代,水,2024/10/23,21:29,夜,180,1,カップ麺
R1141,中央区,女性,50代,金,2024/09/27,19:41,夜,180,1,野菜ジュース
R1142,中央区,男性,20代,月,2024/10/28,11:13,昼,950,3,肉まん サンドイッチ 炭酸飲料
R1143,中央区,女性,60代以上,日,2024/03/03,11:45,昼,1070,3,ジュース ティッシュ 弁当
R1144,中央区,女性,50代,土,2024/11/09,18:40,夜,470,3,ヨーグルト 野菜ジュース 缶コーヒー
R1145,北区,男性,20代,月,2024/09/16,13:03,昼,1040,4,サンドイッチ お茶 サラダ カップ麺
R1146,北区,女性,40代,火,2024/10/08,08:31,朝,1180,5,おにぎり 卵 ジュース 歯ブラシ トイレットペーパー
R1147,中央区,男性,10代,日,2024/12/15,19:35,夜,940,4,ポテトチップス アイス 炭酸飲料 ガム
R1148,東区,女性,60代以上,日,2024/04/21,18:20,夜,740,2,サラダ サンドイッチ
R1149,中央区,男性,50代,土,2024/01/13,09:54,朝,640,3,牛乳 おにぎり コーヒー
R1150,東区,女性,20代,金,2024/07/12,17:17,夜,560,2,キャンディ チョコレート
R1151,中央区,女性,60代以上,月,2024/02/19,18:20,夜,840,3,フルーツ サンドイッチ お茶
R1152,北区,男性,10代,月,2024/09/30,11:33,昼,690,3,ジュース 肉まん トイレットペーパー
R1153,西区,女性,40代,金,2024/09/06,18:29,夜,420,2,ポテトチップス 炭酸飲料
R1154,中央区,女性,30代,木,2024/03/28,07:44,朝,660,3,パン 野菜ジュース フルーツ
R1155,中央区,女性,10代,木,2024/05/09,12:21,昼,650,2,おにぎり 弁当
R1156,北区,女性,50代,金,2024/11/29,17:39,夜,480,2,ジュース 炭酸飲料
R1157,西区,女性,60代以上,火,2024/02/13,08:37,朝,480,2,パン フルーツ
R1158,西区,女性,50代,木,2024/05/23,18:24,夜,770,4,ポテトチップス アイス 冷凍食品 チョコレート
R1159,中央区,女性,10代,金,2024/06/28,08:34,朝,680,2,ジュース 弁当
R1160,中央区,女性,30代,木,2024/05/16,06:22,朝,190,1,ヨーグルト
R1161,北区,女性,50代,火,2024/02/27,11:00,昼,650,2,弁当 おにぎり
R1162,東区,男性,40代,土,2024/10/12,12:08,昼,590,3,肉まん 冷凍食品 缶コーヒー
R1163,北区,女性,10代,日,2024/04/14,08:23,朝,410,2,コーヒー 卵
R1164,中央区,女性,40代,木,2024/02/01,13:19,昼,190,1,肉まん
R1165,中央区,男性,50代,月,2024/03/25,13:02,昼,800,3,カップ麺 サンドイッチ ジュース
R1166,西区,男性,40代,木,2024/08/15,13:24,昼,400,2,冷凍食品 缶コーヒー
R1167,西区,男性,20代,木,2024/10/31,08:10,朝,520,3,おにぎり パン ジュース
R1168,北区,男性,40代,金,2024/07/26,11:58,昼,600,3,牛乳 缶コーヒー ジュース
R1169,西区,女性,20代,日,2024/09/22,20:10,夜,760,3,冷凍食品 キャンディ ポテトチップス
R1170,北区,男性,40代,月,2024/07/15,17:19,夜,620,3,炭酸飲料 缶コーヒー チョコレート
R1171,東区,女性,50代,土,2024/04/06,06:31,朝,600,2,牛乳 フルーツ
R1172,中央区,男性,60代以上,木,2024/01/25,18:11,夜,780,3,栄養ドリンク フルーツ トイレットペーパー
R1173,北区,女性,30代,土,2024/03/16,18:06,夜,1720,6,歯ブラシ トイレットペーパー ティッシュ 洗剤 栄養ドリンク ガム
R1174,西区,女性,40代,金,2024/07/19,12:44,昼,330,2,肉まん おにぎり
R1175,中央区,女性,10代,火,2024/06/25,19:25,夜,890,4,トイレットペーパー 歯ブラシ 洗剤 ポテトチップス
R1176,西区,女性,20代,日,2024/10/20,11:17,昼,190,1,肉まん
R1177,東区,女性,10代,土,2024/01/27,17:23,夜,630,3,炭酸飲料 チョコレート ポテトチップス
R1178,東区,男性,30代,木,2024/06/13,13:14,昼,760,3,チョコレート ガム カップ麺
R1179,西区,女性,20代,月,2024/11/04,11:59,昼,180,1,カップ麺
R1180,中央区,女性,20代,木,2024/11/14,18:05,夜,810,3,炭酸飲料 サラダ チョコレート
R1181,北区,女性,40代,木,2024/05/09,09:31,朝,360,2,ヨーグルト コーヒー
R1182,西区,女性,60代以上,火,2024/08/20,19:14,夜,170,1,ジュース
R1183,東区,女性,60代以上,月,2024/08/26,13:15,昼,120,1,お茶
R1184,東区,女性,50代,木,2024/05/23,19:32,夜,150,1,アイス
R1185,西区,女性,50代,金,2024/05/24,08:11,朝,840,4,栄養ドリンク ヨーグルト サラダ 野菜ジュース
R1186,中央区,女性,40代,木,2024/09/05,11:17,昼,650,2,弁当 おにぎり
R1187,北区,男性,50代,日,2024/06/09,20:54,夜,450,3,シャンプー ジュース コーヒー
R1188,中央区,男性,10代,月,2024/05/06,20:38,夜,620,2,ジュース サンドイッチ
R1189,東区,男性,20代,月,2024/04/22,08:11,朝,180,1,野菜ジュース
R1190,北区,女性,50代,火,2024/07/30,18:18,夜,1270,5,洗剤 トイレットペーパー 歯ブラシ 缶コーヒー ティッシュ
R1191,西区,男性,50代,土,2024/11/16,08:27,朝,980,4,コーヒー サンドイッチ お茶 卵
R1192,北区,女性,10代,金,2024/03/29,10:10,朝,620,3,パン 卵 コーヒー
R1193,東区,女性,50代,日,2024/08/25,12:18,昼,420,3,ヨーグルト ポテトチップス お茶
R1194,中央区,男性,10代,月,2024/01/01,08:18,朝,210,1,パン
R1195,中央区,男性,30代,火,2024/10/01,17:16,夜,290,2,アイス おにぎり
R1196,中央区,女性,30代,日,2024/09/01,18:25,夜,470,3,カップ麺 ジュース お茶
R1197,西区,男性,60代以上,土,2024/12/21,12:12,昼,970,3,サンドイッチ ジュース キャンディ
R1198,東区,男性,20代,水,2024/03/13,13:55,昼,1020,5,アイス ガム チョコレート ポテトチップス カップ麺
R1199,中央区,女性,40代,火,2024/05/14,08:38,朝,330,1,牛乳
R1200,東区,女性,20代,木,2024/11/14,20:26,夜,360,2,チョコレート アイス
